Domaine,Thème_canonique_suggéré,Décision,Citation,Tribunal,Juridiction_applicable,Dispositions_codification_ancrage,Principe_ciblé_pour_la_fiche,Mention_Droitis_recommandée,Source_1_decision,Source_2_texte_loi,Source_3_commentaire
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Granby (Ville) c. Gestion Rainville ltée,2011 QCCS 4259,QCCS,QC,C.c.Q. art. 2918 et suiv.; art. 2938,Paramètres de la preuve de possession utile et articulation avec la publicité des droits dans le contexte municipal/immobilier.,Pour *Granby* : lister les critères de possession utile (paix/public/continue/non équivoque) + lien au jugement déclaratif (C.c.Q. 2918) et aux règles de publicité (C.c.Q. 2938).,https://www.canlii.org/fr/qc/qccs/doc/2011/2011qccs4259/2011qccs4259.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2918&historique=20250819,https://www.canlii.org/en/commentary/doc/2016CanLIIDocs4345
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Re Gagné,2009 QCCS 6064,QCCS,QC,C.c.Q. art. 2918 et suiv.; art. 2938,"Structure d’une demande en prescription acquisitive et contrôle judiciaire (preuve, titres, plans).","Pour *Re Gagné* : transformer la fiche en checklist : possession utile + corroboration (plans, chaîne de titres) + rappel que le jugement est déclaratif (C.c.Q. 2918).",https://www.canlii.org/fr/qc/qccs/doc/2009/2009qccs6064/2009qccs6064.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2918&historique=20250819,https://www.canlii.org/en/commentary/doc/2016CanLIIDocs4345
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Re Montmagny (Ville),2005 CanLII 11604 (QC CS),QCCS,QC,C.c.Q. art. 2918 et suiv.; art. 2938,Jurisprudence de référence sur la forme/éléments requis d’une demande en prescription acquisitive.,Quand *Re Montmagny* est demandé : donner la «structure standard» d’une demande en prescription acquisitive et relier à C.c.Q. 2918 (effet) + 2938 (publicité).,https://www.canlii.org/fr/qc/qccs/doc/2005/2005canlii11604/2005canlii11604.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2918&historique=20250819,https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/17901/index.do
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Re Béland,2005 CanLII 24349 (QC CS),QCCS,QC,C.c.Q. art. 2918 et suiv.; art. 2938,Exigences de preuve et de publicité dans une réclamation de prescription acquisitive.,"Pour *Re Béland* : rappeler les éléments de possession utile + les documents probatoires attendus, puis rattacher à C.c.Q. 2918.",https://www.canlii.org/fr/qc/qccs/doc/2005/2005canlii24349/2005canlii24349.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2918&historique=20250819,https://decisions.scc-csc.ca/scc-csc/scc-csc/fr/item/17901/index.do
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Cabana c. Valiquette,2013 QCCS 4710; conf. 2015 QCCA 1520,QCCS / QCCA,QC,"C.c.Q. art. 2918, 2938, 2946, 2963",Litige de prescription acquisitive avec enjeux de publication (conflits de titres/tiers).,Si *Cabana* : isoler (i) possession utile + (ii) opposabilité/publicité; mentionner que la publication protège le tiers (C.c.Q. 2946) et que la connaissance est présumée (C.c.Q. 2963).,https://www.canlii.org/fr/qc/qccs/doc/2013/2013qccs4710/2013qccs4710.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2946&historique=20250819,https://www.canlii.org/en/commentary/doc/2016CanLIIDocs4345
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Breton c. Fortin,2016 QCCS 6149,QCCS,QC,C.c.Q. art. 2918 et suiv.; art. 2938,Précisions sur l’analyse de la possession et la preuve requise en prescription acquisitive.,Quand *Breton* : présenter les critères de possession utile sous forme de tests (faits → critères) + rappel jugement déclaratif (C.c.Q. 2918).,https://www.canlii.org/fr/qc/qccs/doc/2016/2016qccs6149/2016qccs6149.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2918&historique=20250819,https://www.canlii.org/en/commentary/doc/2016CanLIIDocs4345
Biens — Publicité des droits & prescription acquisitive,"Prescription acquisitive, registre foncier et priorité des droits (C.c.Q. art. 2918, 2938, 2946, 2963)",Gosselin c. Turner,2012 QCCS 388,QCCS,QC,C.c.Q. art. 2918 et suiv.; art. 2938,Exemple de raisonnement factuel (possession utile) appliqué au droit de propriété acquis par prescription.,"Si *Gosselin* : générer une section «preuve» (témoignages, taxes, clôtures, actes matériels) et relier à C.c.Q. 2918 (effet).",https://www.canlii.org/fr/qc/qccs/doc/2012/2012qccs388/2012qccs388.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/ccq-1991?code=se%3A2918&historique=20250819,https://www.canlii.org/en/commentary/doc/2016CanLIIDocs4345
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)",Plourde c. Wal-Mart Canada Corp.,2009 CSC 54,CSC,QC,"Code du travail (RLRQ, c. C-27) art. 15-17 (représailles antisyndicales); remèdes",Recours antisyndical (art. 15-17 C.t.) — portée du remède (réintégration) lorsque l’employeur a fermé l’établissement.,Si *Plourde* : mentionner explicitement que la plainte est fondée sur art. 15-17 C.t.; préciser les limites du remède quand la réintégration implique la réouverture.,https://www.canlii.org/fr/ca/csc/doc/2009/2009csc54/2009csc54.html,https://www.legisquebec.gouv.qc.ca/fr/version/lc/C-27?code=se%3A15&historique=20160804,https://canliiconnects.org/en/commentaries/36234
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)","TUAC, section locale 503 c. Wal-Mart Canada Corp.",2014 CSC 45,CSC,QC,Code du travail art. 59 (maintien conditions) et art. 100.10-100.12 (arbitrage),Gel des conditions de travail pendant l’accréditation (art. 59 C.t.) — contrôle arbitral via art. 100.10.,Si *Wal-Mart 2014* : ajouter une section «art. 59 C.t. = gel» + mécanisme d’arbitrage (art. 100.10) et standard d’intervention.,https://www.canlii.org/fr/ca/csc/doc/2014/2014csc45/2014csc45.html,https://www.legisquebec.gouv.qc.ca/fr/document/lc/C-27/20020213,https://nelliganlaw.ca/articles/think-twice-before-closing-supreme-court-of-canada-addresses-employer-rights-during-the-certification-process/
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)",Isidore Garon ltée c. Tremblay; Fillion et Frères (1976) inc. c. Syndicat national des employés de garage du Québec inc.,2006 CSC 2,CSC,QC,Loi sur les normes du travail (LNT) art. 82 et suiv. (préavis) + art. 124 (recours); interaction avec conventions collectives,Préavis et «délai de congé raisonnable» en contexte syndiqué — articulation LNT / conventions collectives / arbitrage.,"Si *Isidore Garon* : dans la fiche, pointer (i) préavis LNT (art. 82) + (ii) recours (art. 124) + (iii) rôle de l’arbitre vs tribunaux.",https://www.canlii.org/fr/ca/csc/doc/2006/2006csc2/2006csc2.html,https://www.cnesst.gouv.qc.ca/fr/organisation/documentation/acces-linformation/documents-servant-prise-decision/normes-travail/loi-sur-normes-travail/chapitre-iv-normes-travail-art-391-97/section-vi-lavis-cessation-demploi-mise-pied/article-82,https://blogue.soquij.qc.ca/2006/02/17/le-droit-des-salaries-syndiques-a-un-delai-de-conge-raisonnable/
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)",Québec (Commission des normes du travail) c. Asphalte Desjardins inc.,2014 CSC 51,CSC,QC,LNT art. 82 et suiv. (préavis) — résiliation avant l’échéance d’un avis de démission; protection minimale,L’employeur qui met fin à l’emploi avant la date de démission annoncée peut devoir le préavis/indemnité — finalité protectrice de la LNT.,Si *Asphalte Desjardins* : ajouter une règle claire «démission avec préavis ≠ renonciation au préavis de l’employeur» + citer l’objectif de protection.,https://www.canlii.org/fr/ca/csc/doc/2014/2014csc51/2014csc51.html,https://www.cnesst.gouv.qc.ca/fr/organisation/documentation/acces-linformation/documents-servant-prise-decision/normes-travail/loi-sur-normes-travail/chapitre-iv-normes-travail-art-391-97/section-vi-lavis-cessation-demploi-mise-pied/article-82,https://www.lavery.ca/en/publications/our-publications/1817-the-asphalte-desjardins-matter-the-supreme-court-of-canada-overturns-the-decision-of-the-quebec-court-of-appeal.html
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)","Hydro-Québec c. Syndicat des employé-e-s de techniques professionnelles et de bureau d'Hydro-Québec, section locale 2000 (SCFP-FTQ)",2008 CSC 43,CSC,QC,Charte QC (C-12) — handicap/accommodement; principes d’accommodement en milieu de travail (limite = contrainte excessive),Test d’accommodement/contrainte excessive : l’employeur n’a pas à «modifier l’essence» du contrat; focus sur capacité de fournir une prestation régulière à l’avenir.,Si *Hydro-Québec* : inclure un encadré «test pratique» (capacité raisonnablement prévisible + contrainte excessive) et rappeler la base Charte QC.,https://www.canlii.org/fr/ca/csc/doc/2008/2008csc43/2008csc43.html,https://www.legisquebec.gouv.qc.ca/fr/document/lc/C-12,https://canliiconnects.org/fr/commentaires/36140
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)",Québec (CNESST) c. Caron,2018 CSC 3,CSC,QC,"LATMP (RLRQ, c. A-3.001) chap. Réadaptation (art. 145-187) + Charte QC (C-12)","Obligation d’accommodement dans le cadre des lésions professionnelles : interaction LATMP / Charte QC, rôle CNESST/TAT.",Si *Caron* : distinguer (i) mécanismes LATMP (réadaptation) et (ii) norme d’accommodement/contrainte excessive de la Charte; signaler la logique de «protection du lien d’emploi».,https://www.canlii.org/fr/ca/csc/doc/2018/2018csc3/2018csc3.html,https://legisquebec.gouv.qc.ca/fr/showdoc/cs/a-3.001,https://www.lavery.ca/fr/publications/nos-publications/3064-affaire-caron-cest-confirme-les-employeurs-ont-une-obligation-daccommodement-dans-les-cas-de-lesion-professionnelle.html
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)",Health Services and Support – Facilities Subsector Bargaining Assn. c. Colombie-Britannique,2007 CSC 27,CSC,CA,Charte canadienne art. 2(d) + art. 1 (limites),Reconnaissance constitutionnelle de la négociation collective comme composante de la liberté d’association.,"Si une fiche de droit du travail traite de liberté d’association : citer *Health Services* et rattacher au texte codifié (Charte, art. 2(d)).",https://www.canlii.org/fr/ca/csc/doc/2007/2007csc27/2007csc27.html,https://laws.justice.gc.ca/eng/Const/page-12.html,https://canliiconnects.org/en/summaries/31176
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)",Mounted Police Association of Ontario c. Canada (Procureur général),2015 CSC 1,CSC,CA,Charte canadienne art. 2(d) + art. 1,Cadre analytique modernisé de la liberté d’association; protection du choix d’un véritable agent de négociation.,Pour les fiches «droits collectifs» : mentionner l’exigence de «représentation véritable» sous 2(d).,https://www.canlii.org/fr/ca/csc/doc/2015/2015csc1/2015csc1.html,https://laws.justice.gc.ca/eng/Const/page-12.html,https://canliiconnects.org/en/commentaries/38582
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)",Saskatchewan Federation of Labour c. Saskatchewan,2015 CSC 4,CSC,CA,Charte canadienne art. 2(d) + art. 1,Le droit de grève comme composante protégée de la liberté d’association (dans certaines limites).,Dans une fiche sur grève/services essentiels : associer la règle au texte codifié (2(d)) et à la logique de proportionnalité (art. 1).,https://www.canlii.org/fr/ca/csc/doc/2015/2015csc4/2015csc4.html,https://laws.justice.gc.ca/eng/Const/page-12.html,https://canliiconnects.org/fr/summaries/35663
"Droit du travail — droits collectifs, normes du travail, accommodement","Protection contre représailles (C.t. art. 15-17), gel des conditions (C.t. art. 59/100.10), normes minimales (LNT), accommodement (Charte QC / LATMP), liberté d’association (Charte canadienne s.2d)",Ontario (Procureur général) c. Fraser,2011 CSC 20,CSC,CA,Charte canadienne art. 2(d),Seuil de «diminution substantielle» / interférence substantielle avec l’action collective; contours du devoir de bonne foi du législateur.,Pour les fiches sur 2(d) en droit du travail : exposer le test d’atteinte (interférence substantielle) et replacer *Fraser* dans la chronologie Health Services → 2015.,https://www.canlii.org/fr/ca/csc/doc/2011/2011csc20/2011csc20.html,https://laws.justice.gc.ca/eng/Const/page-12.html,https://canliiconnects.org/en/summaries/34296
Fiscal,Évitement fiscal — RGAÉ/GAAR (test en 3 étapes),Canada Trustco Mortgage Co. c. Canada,2005 CSC 54,Cour suprême du Canada,CA-FED,"Loi de l'impôt sur le revenu (LIR) art. 245 (RGAÉ/GAAR) — notamment 245(2), 245(3), 245(4)","Cadre d'analyse GAAR: (1) avantage fiscal, (2) opération d'évitement, (3) abus (objet/ esprit/ finalité) + lecture textuelle, contextuelle et téléologique.",⚖️ Ancrage législatif : LIR art. 245 (GAAR). Cette décision structure le test en 3 étapes et la preuve de l'abus (245(4)).,https://www.canlii.org/en/ca/scc/doc/2005/2005scc54/2005scc54.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-245.html,https://canliiconnects.org/fr/commentaries/36116
Fiscal,Évitement fiscal — GAAR (transactions d’évitement / abus),Mathew c. Canada,2005 CSC 55,Cour suprême du Canada,CA-FED,LIR art. 245 (RGAÉ/GAAR),Application du test GAAR à des planifications autour des pertes; insiste sur l'analyse de l'objet/ esprit/ finalité de la disposition contournée.,⚖️ Ancrage législatif : LIR art. 245. À citer quand la question porte sur l'identification de l'abus au sens de 245(4).,https://www.canlii.org/en/ca/scc/doc/2005/2005scc55/2005scc55.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-245.html,https://www.canlii.org/en/commentary/doc/2009CanLIIDocs184
Fiscal,Évitement fiscal — GAAR (réorganisation / continuité),Copthorne Holdings Ltd. c. Canada,2011 CSC 63,Cour suprême du Canada,CA-FED,LIR art. 245 (RGAÉ/GAAR),Clarifie l'analyse de l'abus (245(4)) et l'importance de l'objet/ esprit/ finalité; rôle des « overall purpose » vs « underlying rationale » des dispositions.,⚖️ Ancrage législatif : LIR art. 245. Utile pour expliquer comment cerner l'objet/ esprit/ finalité d'une disposition invoquée au stade 245(4).,https://www.canlii.org/en/ca/scc/doc/2011/2011scc63/2011scc63.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-245.html,https://canliiconnects.org/en/commentaries/36293
Fiscal,Évitement fiscal — GAAR + attribution (conjoint),Lipson c. Canada,2009 CSC 1,Cour suprême du Canada,CA-FED,LIR art. 245 (RGAÉ/GAAR) + (selon la question) règles d'attribution (p.ex. art. 74.1 et suiv.),GAAR appliquée à une planification combinant règles d'attribution et déduction d'intérêts; souligne le rôle du stade « abus ».,⚖️ Ancrage législatif : LIR art. 245 (et règles d'attribution selon les faits). Indiquer clairement quelles dispositions sont « contournées » au stade 245(4).,https://www.canlii.org/en/ca/scc/doc/2009/2009scc1/2009scc1.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-245.html,https://canliiconnects.org/en/commentaries/36175
Fiscal,GAAR + conventions fiscales (treaty shopping),Canada c. Alta Energy Luxembourg S.A.R.L.,2021 CSC 49,Cour suprême du Canada,CA-FED,LIR art. 245 (RGAÉ/GAAR) + Convention fiscale pertinente (selon faits),Interaction GAAR et conventions fiscales; analyse téléologique du traité et du régime domestique.,⚖️ Ancrage législatif : LIR art. 245 + traité applicable. Important pour expliquer comment la finalité d'un traité influence 245(4).,https://www.canlii.org/en/ca/scc/doc/2021/2021scc49/2021scc49.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-245.html,https://www.canlii.org/en/commentary/doc/2019CanLIIDocs2940
Fiscal,Déduction d'intérêts — « but de gagner un revenu »,Shell Canada Ltée c. Canada,1999 CanLII 647 (CSC),Cour suprême du Canada,CA-FED,LIR art. 20(1)(c) (déductibilité des intérêts) + art. 18(1)(a) (dépenses pour gagner un revenu),Approche formaliste vs substance: structure juridique valide + application stricte des critères de 20(1)(c); distinction entre « but » et « effet ». ,⚖️ Ancrage législatif : LIR art. 20(1)(c) (et 18(1)(a)). Citer Shell pour cadrer les conditions de déductibilité et l'analyse du « purpose ». ,https://www.canlii.org/en/ca/scc/doc/1999/1999canlii647/1999canlii647.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-20.html,https://www.canlii.org/en/commentary/doc/2000CanLIIDocs416
Fiscal,Déduction d'intérêts — lien direct / traçabilité des fonds,Bronfman Trust c. La Reine,1987 CanLII 76 (CSC),Cour suprême du Canada,CA-FED,LIR art. 20(1)(c) (déductibilité des intérêts),Exigence d'un lien direct entre l'emprunt et une utilisation admissible; importance de la « tracing » des fonds empruntés.,⚖️ Ancrage législatif : LIR art. 20(1)(c). À référer systématiquement pour la traçabilité et la finalité de l'emprunt.,https://www.canlii.org/en/ca/scc/doc/1987/1987canlii76/1987canlii76.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-20.html,https://www.canlii.org/en/commentary/doc/2022CanLIIDocs3231
Fiscal,Prix de transfert — pleine concurrence,GlaxoSmithKline Inc. c. Canada,2012 CSC 52,Cour suprême du Canada,CA-FED,LIR art. 247 (prix de transfert) (et régime connexe selon l'année d'imposition),Analyse arm's length contextuelle: prendre en compte l'ensemble de l'opération (incluant intangibles/ licences) dans la comparaison pleine concurrence.,⚖️ Ancrage législatif : LIR art. 247. Citer Glaxo sur l'obligation d'évaluer le contexte commercial complet dans la comparaison.,https://www.canlii.org/en/ca/scc/doc/2012/2012scc52/2012scc52.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-247.html,https://www.canlii.org/en/commentary/doc/2012CanLIIDocs110
Fiscal,Revenu vs capital — incitatifs locatifs,Ikea Ltd. c. Canada,1998 CanLII 848 (CSC),Cour suprême du Canada,CA-FED,LIR art. 9 (revenu d'entreprise) (et qualification revenu/capital),Qualification d'un paiement (tenant inducement) : approche factuelle/ économique; critères revenu vs capital en droit fiscal canadien.,⚖️ Ancrage législatif : LIR art. 9. Utiliser Ikea pour structurer l'analyse revenu/capital des paiements reçus.,https://www.canlii.org/en/ca/scc/doc/1998/1998canlii848/1998canlii848.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-9.html,https://www.canlii.org/en/commentary/doc/2015CanLIIDocs5448
Fiscal,Interprétation en droit fiscal — rejet de l'« anti-avoidance » implicite,Stubart Investments Ltd. c. La Reine,1984 CanLII 20 (CSC),Cour suprême du Canada,CA-FED,LIR art. 111 (report de pertes) (et principes d'interprétation fiscale),Interprétation moderne (texte/contexte/objet) appliquée au fiscal; refus d'une doctrine générale anti-évitement non écrite (avant 245).,⚖️ Ancrage législatif : LIR art. 111 (contexte des pertes) + méthode d'interprétation. Utile pour expliquer l'évolution vers la GAAR (245).,https://www.canlii.org/en/ca/scc/doc/1984/1984canlii20/1984canlii20.html,https://laws-lois.justice.gc.ca/eng/acts/I-3.3/section-111.html,https://www.canlii.org/en/commentary/doc/2009CanLIIDocs184
Famille,Pension alimentaire — objectifs et désavantages économiques,Moge c. Moge,[1992] 3 RCS 813,Cour suprême du Canada,CA-FED,Loi sur le divorce art. 15.2 (pension alimentaire pour époux),Objectifs de la pension alimentaire (compensatoire / non compensatoire) + reconnaissance des désavantages économiques post-divorce.,⚖️ Ancrage législatif : Loi sur le divorce art. 15.2. Moge sert à cadrer les objectifs (compensatoire vs besoins) et l'analyse des désavantages.,https://www.canlii.org/en/ca/scc/doc/1992/1992canlii25/1992canlii25.html,https://laws-lois.justice.gc.ca/eng/acts/D-3.4/section-15.2.html,https://canliiconnects.org/en/summaries/32907
Famille,Pension alimentaire — soutien non compensatoire (besoins),Bracklow c. Bracklow,1999 CanLII 715 (CSC),Cour suprême du Canada,CA-FED,Loi sur le divorce art. 15.2,Reconnaît le soutien non compensatoire (besoins/équité) en plus du compensatoire; précise la structure d'analyse sous 15.2.,⚖️ Ancrage législatif : Loi sur le divorce art. 15.2. À citer pour distinguer soutien compensatoire vs non compensatoire.,https://www.canlii.org/en/ca/scc/doc/1999/1999canlii715/1999canlii715.html,https://laws-lois.justice.gc.ca/eng/acts/D-3.4/section-15.2.html,https://canliiconnects.org/en/summaries/32909
Famille,Ententes post-séparation — déférence et contrôle (spousal support),Miglin c. Miglin,2003 CSC 24,Cour suprême du Canada,CA-FED,Loi sur le divorce art. 15.2,Test en deux étapes pour accorder du poids aux ententes: conformité aux objectifs au moment de la conclusion + adéquation au moment de la demande.,⚖️ Ancrage législatif : Loi sur le divorce art. 15.2. Citer Miglin pour la méthodologie d'analyse des ententes de séparation.,https://www.canlii.org/en/ca/scc/doc/2003/2003scc24/2003scc24.html,https://laws-lois.justice.gc.ca/eng/acts/D-3.4/section-15.2.html,https://canliiconnects.org/en/summaries/32910
Famille,Conduite et pension alimentaire — « misconduct » non déterminant,Leskun c. Leskun,2006 CSC 25,Cour suprême du Canada,CA-FED,Loi sur le divorce art. 15.2,La faute/mauvaise conduite n'est pas un facteur autonome; peut influencer seulement via ses conséquences sur besoins/capacité/conditions (p.ex. trauma).,⚖️ Ancrage législatif : Loi sur le divorce art. 15.2. Leskun sert à expliquer quand la conduite est pertinente (effets) sans redevenir une « faute ». ,https://www.canlii.org/en/ca/scc/doc/2006/2006scc25/2006scc25.html,https://laws-lois.justice.gc.ca/eng/acts/D-3.4/section-15.2.html,https://www.canlii.org/en/commentary/doc/2000CanLIIDocs416
Famille,Pension alimentaire pour enfants — rétroactivité,D.B.S. c. S.R.G.,2006 CSC 37,Cour suprême du Canada,CA-FED,Loi sur le divorce art. 15.1 + Lignes directrices fédérales sur les pensions alimentaires pour enfants (SOR/97-175),"Cadre pour ordonnances rétroactives: avis, conduite du débiteur, circonstances de l'enfant, préjudice; présomption date d'avis efficace.",⚖️ Ancrage législatif : Loi sur le divorce art. 15.1 + Lignes directrices fédérales (SOR/97-175). Citer D.B.S. pour l'analyse rétroactive et le rôle de l'avis.,https://www.canlii.org/en/ca/scc/doc/2006/2006scc37/2006scc37.html,https://www.canlii.org/en/ca/laws/regu/sor-97-175/latest/sor-97-175.html,https://www.cba.org/sections/family-law/member-articles/retroactive-child-support-and-d-b-s-v-s-r-g/
Famille,Enfant « à charge » / in loco parentis (beau-parent),Chartier c. Chartier,1999 CanLII 707 (CSC),Cour suprême du Canada,CA-FED,Loi sur le divorce art. 2(1) « enfant à charge » + art. 15.1 (pension alimentaire pour enfants),Critères pour déterminer si une personne tient lieu de parent; obligations subsistent malgré rupture si le rôle parental a été assumé.,⚖️ Ancrage législatif : Loi sur le divorce (définition « enfant à charge ») + art. 15.1. Citer Chartier pour le test in loco parentis.,https://www.canlii.org/en/ca/scc/doc/1999/1999canlii707/1999canlii707.html,https://laws-lois.justice.gc.ca/eng/acts/D-3.4/section-15.1.html,https://canliiconnects.org/en/summaries/32867
Famille,Relocalisation — garde/accès (best interests),Gordon c. Goertz,1996 CanLII 191 (CSC),Cour suprême du Canada,CA-FED,Loi sur le divorce (ancien art. 16; aujourd'hui régime « parenting ») — principe de l'intérêt de l'enfant,Test de relocalisation: réexamen complet de l'intérêt de l'enfant; pas de présomption; facteurs pertinents et fardeau.,⚖️ Ancrage législatif : Loi sur le divorce art. 16 (intérêt de l'enfant) (version applicable). Citer Gordon pour la méthodologie de relocalisation.,https://www.canlii.org/en/ca/scc/doc/1996/1996canlii191/1996canlii191.html,https://laws-lois.justice.gc.ca/eng/acts/D-3.4/section-16.html,https://www.leaf.ca/case_summary/goertz-v-gordon-1996/
Famille,Garde — déférence en appel / intérêt de l'enfant,Van de Perre c. Edwards,2001 CSC 60,Cour suprême du Canada,CA-FED,Loi sur le divorce art. 16 (intérêt de l'enfant) (cadre de la garde),Décisions de garde = fortement discrétionnaires; intervention en appel seulement en cas d'erreur de droit ou erreur manifeste dans l'appréciation des faits.,⚖️ Ancrage législatif : Loi sur le divorce art. 16. Citer Van de Perre pour le standard d'intervention en appel sur les ordonnances de garde.,https://www.canlii.org/fr/ca/csc/doc/2001/2001csc60/2001csc60.html,https://laws-lois.justice.gc.ca/eng/acts/D-3.4/section-16.html,https://lawcf.ca/family-law-van-de-perre-v-edwards/
Famille,Pensions alimentaires — contrôle en appel / Lignes directrices,Hickey c. Hickey,1999 CanLII 691 (CSC),Cour suprême du Canada,CA-FED,Loi sur le divorce art. 15.1 + Lignes directrices fédérales (SOR/97-175),Déférence en appel sur pensions alimentaires; rôle central des lignes directrices et nécessité d'erreur de principe/manifestement déraisonnable pour intervenir.,⚖️ Ancrage législatif : Loi sur le divorce art. 15.1 + Lignes directrices fédérales. Citer Hickey pour la déférence en appel et l'usage des guidelines.,https://www.canlii.org/en/ca/scc/doc/1999/1999canlii691/1999canlii691.html,https://www.canlii.org/en/ca/laws/regu/sor-97-175/latest/sor-97-175.html,https://canliiconnects.org/en/summaries/24164
Famille,Union de fait — exclusion des protections CCQ (Charte),Québec (Procureur général) c. A,2013 CSC 5,Cour suprême du Canada,QC,C.c.Q. (obligations alimentaires et patrimoine familial — articles applicables aux époux) + Charte canadienne art. 15,Cadre constitutionnel sur l'exclusion des conjoints de fait des régimes CCQ; tension égalité vs liberté de choix; impacts pratiques en droit de la famille québécois.,⚖️ Ancrage législatif : C.c.Q. (régimes réservés aux époux) + Charte art. 15. Mentionner explicitement que la décision porte sur l'union de fait au Québec.,https://www.canlii.org/en/ca/scc/doc/2013/2013scc5/2013scc5.html,https://www.legisquebec.gouv.qc.ca/fr/document/lc/ccq-1991#se:585,https://canliiconnects.org/en/commentaries/29934
